,Distance_startpoint_Yamuna,depth_MSL
405,42998.01880443871,234
406,43104.18675210399,233
407,43210.35469976927,233
408,43316.522647434555,235
409,43422.69059509983,235
410,43528.85854276511,235
411,43635.02649043039,234
412,43741.19443809568,234
413,43847.36238576096,234
414,43953.530333426235,234
415,44059.698281091514,234
416,44165.8662287568,235
417,44272.03417642208,236
418,44378.20212408736,238
419,44484.37007175264,238
420,44590.53801941792,239
421,44696.7059670832,240
422,44802.87391474848,242
423,44909.04186241376,243
424,45015.209810079046,244
425,45121.377757744325,243
426,45227.545705409604,243
427,45333.71365307488,243
428,45439.88160074017,242
429,45546.04954840545,242
430,45652.21749607073,243
431,45758.385443736006,244
432,45864.55339140129,243
433,45970.72133906657,243
434,46076.88928673185,243
435,46183.05723439713,243
436,46289.225182062415,243
437,46395.393129727694,243
438,46501.56107739297,244
439,46607.72902505825,243
440,46713.89697272354,243
441,46820.06492038882,242
442,46926.232868054096,242
443,47032.400815719375,243
444,47138.56876338466,243
445,47244.73671104994,243
446,47350.90465871522,243
447,47457.0726063805,243
448,47563.240554045784,242
449,47669.40850171106,242
450,47775.57644937634,242
451,47881.74439704163,242
452,47987.91234470691,243
453,48094.080292372186,243
454,48200.248240037465,243
455,48306.41618770275,243
456,48412.58413536803,242
457,48518.75208303331,242
458,48624.92003069859,243
459,48731.087978363874,243
460,48837.25592602915,243
461,48943.42387369443,244
462,49049.59182135971,244
463,49155.759769025,242
464,49261.927716690276,242
465,49368.095664355555,242
466,49474.26361202083,242
467,49580.43155968612,242
468,49686.5995073514,242
469,49792.76745501668,242
470,49898.93540268196,242
471,50005.10335034724,242
472,50111.27129801252,242
473,50217.4392456778,242
474,50323.60719334308,242
475,50429.775141008366,242
476,50535.943088673645,242
477,50642.11103633892,242
478,50748.2789840042,242
479,50854.44693166949,242
480,50960.61487933477,244
481,51066.78282700005,243
482,51172.950774665325,243
483,51279.11872233061,242
484,51385.28666999589,242
485,51491.45461766117,243
486,51597.62256532645,242
487,51703.790512991734,243
488,51809.95846065701,243
489,51916.12640832229,244
490,52022.29435598757,245
491,52128.46230365286,244
492,52234.630251318136,243
493,52340.798198983415,242
494,52446.966146648694,241
495,52553.13409431398,242
496,52659.30204197926,242
497,52765.46998964454,242
498,52871.63793730982,242
499,52977.8058849751,241
500,53083.97383264038,240
501,53190.14178030566,240
502,53296.30972797094,241
503,53402.477675636226,241
504,53508.645623301505,243
505,53614.813570966784,242
506,53720.98151863206,242
507,53827.14946629735,242
508,53933.31741396263,241
509,54039.48536162791,241
510,54145.653309293186,241
511,54251.82125695847,241
512,54357.98920462375,241
513,54464.15715228903,241
514,54570.325099954316,241
515,54676.493047619595,241
516,54782.660995284874,241
517,54888.82894295015,242
518,54994.99689061544,241
519,55101.16483828072,241
520,55207.332785946,242
521,55313.500733611276,241
522,55419.66868127656,240
523,55525.83662894184,240
524,55632.00457660712,241
525,55738.1725242724,241
526,55844.340471937685,241
527,55950.508419602964,241
528,56056.67636726824,241
529,56162.84431493352,241
530,56269.01226259881,241
531,56375.18021026409,241
532,56481.348157929366,240
533,56587.516105594645,239
534,56693.68405325993,239
535,56799.85200092521,239
536,56906.01994859049,239
537,57012.18789625577,239
538,57118.355843921054,239
539,57224.52379158633,239
540,57330.69173925161,239
541,57436.85968691689,239
542,57543.02763458218,239
543,57649.195582247456,239
